"tienda","categoria","nombre","precio","fecha","precio_num","grupo"
"Fidalga","abarrotes","Pan Frances por Unidad","Bs1,00",2025-06-12,1,"1"
"Fidalga","abarrotes","Aji Panca Picante Sibarita de 85 gr","Bs0,60",2025-06-12,0.6,"1"
"Fidalga","abarrotes","Gelatina Cereza Yeli 110 g","Bs2,30",2025-06-12,2.3,"1"
"Fidalga","abarrotes","Gelatina de Naranja Yeli 110 g","Bs2,40",2025-06-12,2.4,"1"
"Fidalga","abarrotes","Gelatina de PiÃ±a Yeli de 110 gr","Bs2,50",2025-06-12,2.5,"1"
"Fidalga","abarrotes","Gelatina de Frambuesa Yeli de 110 gr","Bs2,50",2025-06-12,2.5,"1"
"Fidalga","abarrotes","Gelatina de Frutilla Yeli de 120 gr","Bs2,50",2025-06-12,2.5,"1"
"Fidalga","abarrotes","Te con Canela Miki de 20 Uni","Bs2,80",2025-06-12,2.8,"1"
"Fidalga","abarrotes","Sal Yodada y Fluorada de 1000 gr","Bs4,60",2025-06-12,4.6,"1"
"Fidalga","abarrotes","Ketchup Kris de 60 gr","Bs5,00",2025-06-12,5,"1"
"Fidalga","abarrotes","Mayonesa Original Kris de 60 gr","Bs5,00",2025-06-12,5,"1"
"Fidalga","abarrotes","Te con Canela Ceylan de 20 Uni","Bs5,20",2025-06-12,5.2,"1"
"Fidalga","abarrotes","Te de Canela y Clavo de Olor Ceylan de 20 Uni","Bs5,60",2025-06-12,5.6,"1"
"Fidalga","abarrotes","Te Clasico Windsor de 20 Uni","Bs5,80",2025-06-12,5.8,"1"
"Fidalga","abarrotes","Picadillo de Carne Safra 90 g","Bs5,80",2025-06-12,5.8,"1"
"Fidalga","abarrotes","Flan sabor Vainilla Kris de 60 gr","Bs6,00",2025-06-12,6,"1"
"Fidalga","abarrotes","Flan de vainilla Miki 120 g","Bs6,00",2025-06-12,6,"1"
"Fidalga","abarrotes","Sopa Instantanea saboor Costilla Nissin Ramen de 85 gr","Bs6,00",2025-06-12,6,"1"
"Fidalga","abarrotes","Sopa Instantanea de Pollo y Verdura Ajinomen 80 g","Bs6,20",2025-06-12,6.2,"1"
"Fidalga","abarrotes","Sopa Instantanea sabor Costilla de Res AjÃ­-No-Men 80 g","Bs6,20",2025-06-12,6.2,"1"
"Fidalga","bebidas","Pan Frances por Unidad","Bs1,00",2025-06-12,1,"1"
"Fidalga","bebidas","Jugo de Manzana Ades 1 l","Bs13,00",2025-06-12,13,"1"
"Fidalga","bebidas","Fernet Branca 750 ml","Bs102,00",2025-06-12,102,"2"
"Fidalga","bebidas","Cerveza Zero Grau Conti de 269 ml","Bs5,60",2025-06-12,5.6,"1"
"Fidalga","bebidas","Gaseosa Coca-Cola 3 L","Bs18,00",2025-06-12,18,"3"
"Fidalga","bebidas","Nectar de Manzana Frutts Pura Vida de 2000 ml","Bs15,00",2025-06-12,15,"3"
"Fidalga","bebidas","Gaseosa Sprite 2 L","Bs13,70",2025-06-12,13.7,"1"
"Fidalga","bebidas","Aquarius Pera 3000 ml","Bs17,50",2025-06-12,17.5,"3"
"Fidalga","bebidas","Cerveza PaceÃ±a Lata 269 ml","Bs6,50",2025-06-12,6.5,"1"
"Fidalga","bebidas","Nectar de Durazno Del Valle 1 l","Bs12,00",2025-06-12,12,"1"
"Fidalga","bebidas","Gaseosa Coca-Cola 2 L","Bs13,70",2025-06-12,13.7,"1"
"Fidalga","bebidas","Gaseosa Antarctica Guarana 500 ml","Bs4,00",2025-06-12,4,"1"
"Fidalga","bebidas","Gaseosa Fanta Guarana de 500 ml","Bs5,20",2025-06-12,5.2,"1"
"Fidalga","bebidas","Limonada con Gas La CabaÃ±a de 2000 ml","Bs12,00",2025-06-12,12,"1"
"Fidalga","bebidas","Energizante Monster Energy de 473 ml 24 Uni","Bs26,00",2025-06-12,26,"3"
"Fidalga","bebidas","Nectar de Tumbo Frutts Pura Vida 2000 ml","Bs14,00",2025-06-12,14,"1"
"Fidalga","bebidas","Gaseosa Mendocina Papaya 3000 ml","Bs13,00",2025-06-12,13,"1"
"Fidalga","bebidas","Agua sin Gas Vital de 6000 ml","Bs21,00",2025-06-12,21,"3"
"Fidalga","bebidas","Gaseosa Pepsi de 3000 ml","Bs13,00",2025-06-12,13,"1"
